solv_i_id,molefrac_i,ln_gamma_i
solvent_306 / solvent_726,1 / 0,0 / 0.23
solvent_306 / solvent_627,1 / 0,0 / 0.45
solvent_306 / solvent_319,1 / 0,0 / 0.15
solvent_306 / solvent_455,1 / 0,0 / 0.22
solvent_306 / solvent_723,1 / 0,0 / 1.94
solvent_306 / solvent_162,1 / 0,0 / 1.61
solvent_306 / solvent_466,1 / 0,0 / 0.29
solvent_306 / solvent_795,1 / 0,0 / -0.37
solvent_306 / solvent_304,1 / 0,0 / 0.19
ref_82 / solvent_705,1 / 0,0 / 1.39
ref_82 / solvent_535,1 / 0,0 / 1.56
ref_82 / solvent_527,1 / 0,0 / 1.76
ref_82 / solvent_677,1 / 0,0 / 1.94
solvent_296 / solvent_705,1 / 0,0 / 0.66
solvent_296 / solvent_535,1 / 0,0 / 0.74
solvent_296 / solvent_337,1 / 0,0 / 0.59
solvent_296 / ref_34,1 / 0,0 / 0.73
solvent_296 / solvent_527,1 / 0,0 / 0.83
solvent_296 / ref_103,1 / 0,0 / 0.74
solvent_296 / solvent_677,1 / 0,0 / 0.75
solvent_296 / ref_70,1 / 0,0 / 0.78
solvent_296 / ref_144,1 / 0,0 / 0.79
solvent_296 / ref_48,1 / 0,0 / 0.73
solvent_296 / solvent_666,1 / 0,0 / 0.84
solvent_296 / solvent_782,1 / 0,0 / -0.2
solvent_296 / solvent_90,1 / 0,0 / 0.2
solvent_296 / solvent_54,1 / 0,0 / 0.12
solvent_296 / solvent_719,1 / 0,0 / 0.12
solvent_296 / solvent_297,1 / 0,0 / 0.17
solvent_296 / solvent_795,1 / 0,0 / 0.36
ref_60 / solvent_535,1 / 0,0 / 2.71
ref_60 / solvent_262,1 / 0,0 / 0.79
solvent_764 / solvent_535,1 / 0,0 / 0.64
solvent_764 / solvent_337,1 / 0,0 / 0.31
solvent_764 / solvent_527,1 / 0,0 / 0.63
solvent_764 / solvent_262,1 / 0,0 / -0.04
solvent_764 / solvent_81,1 / 0,0 / 0.4
solvent_764 / ref_104,1 / 0,0 / 0.11
solvent_764 / ref_63,1 / 0,0 / -0.02
solvent_764 / ref_30,1 / 0,0 / -0.09
solvent_764 / solvent_80,1 / 0,0 / 0.42
solvent_764 / ref_37,1 / 0,0 / 0.19
solvent_764 / ref_122,1 / 0,0 / 0.22
ref_16 / solvent_527,1 / 0,0 / 1.2
ref_15 / solvent_527,1 / 0,0 / 1.3
ref_29 / solvent_527,1 / 0,0 / 1.2
ref_118 / solvent_535,1 / 0,0 / 4.5
ref_118 / solvent_337,1 / 0,0 / 4.02
ref_118 / ref_38,1 / 0,0 / 4.03
ref_118 / solvent_527,1 / 0,0 / 4.91
ref_118 / solvent_840,1 / 0,0 / 4.4
ref_118 / solvent_95,1 / 0,0 / 4.84
ref_118 / solvent_262,1 / 0,0 / 2.17
ref_118 / solvent_782,1 / 0,0 / 2.73
ref_86 / solvent_343,1 / 0,0 / 3.37
ref_86 / solvent_535,1 / 0,0 / 4.65
ref_86 / solvent_337,1 / 0,0 / 3.8
ref_86 / ref_34,1 / 0,0 / 4.63
ref_86 / ref_157,1 / 0,0 / 4.51
ref_86 / ref_38,1 / 0,0 / 3.89
ref_86 / ref_1,1 / 0,0 / 4.45
ref_86 / solvent_527,1 / 0,0 / 5.05
ref_86 / solvent_95,1 / 0,0 / 5.25
ref_86 / solvent_262,1 / 0,0 / 1.22
ref_86 / solvent_81,1 / 0,0 / 3.78
ref_86 / ref_104,1 / 0,0 / 2.88
ref_86 / solvent_449,1 / 0,0 / 1.28
ref_86 / solvent_376,1 / 0,0 / 2.17
ref_86 / solvent_222,1 / 0,0 / 0.39
solvent_782 / solvent_705,1 / 0,0 / 0.51
solvent_782 / solvent_535,1 / 0,0 / 0.57
solvent_782 / solvent_337,1 / 0,0 / 0.44
solvent_782 / ref_34,1 / 0,0 / 0.58
solvent_782 / ref_38,1 / 0,0 / 0.43
solvent_782 / solvent_527,1 / 0,0 / 0.52
solvent_782 / ref_103,1 / 0,0 / 0.63
solvent_782 / solvent_840,1 / 0,0 / 0.35
solvent_782 / solvent_677,1 / 0,0 / 0.55
solvent_782 / ref_114,1 / 0,0 / 0.44
solvent_782 / ref_70,1 / 0,0 / 0.59
solvent_782 / ref_144,1 / 0,0 / 0.65
solvent_782 / ref_48,1 / 0,0 / 0.5
solvent_782 / solvent_666,1 / 0,0 / 0.58
solvent_782 / ref_32,1 / 0,0 / 0.59
solvent_782 / solvent_262,1 / 0,0 / -0.01
solvent_782 / solvent_90,1 / 0,0 / 0.36
solvent_782 / solvent_194,1 / 0,0 / 0.31
solvent_782 / solvent_560,1 / 0,0 / 0.17
solvent_782 / solvent_81,1 / 0,0 / 0.29
solvent_782 / solvent_580,1 / 0,0 / 3.03
solvent_782 / solvent_446,1 / 0,0 / 2.77
solvent_782 / solvent_449,1 / 0,0 / 0.24
solvent_782 / solvent_54,1 / 0,0 / 0.14
solvent_782 / solvent_376,1 / 0,0 / 0.01
solvent_782 / solvent_222,1 / 0,0 / 0.7
solvent_782 / solvent_595,1 / 0,0 / 0.31
solvent_782 / solvent_745,1 / 0,0 / 2.99
solvent_782 / solvent_726,1 / 0,0 / 0.05
solvent_782 / ref_74,1 / 0,0 / 0.17
solvent_782 / solvent_627,1 / 0,0 / -0.14
solvent_782 / solvent_319,1 / 0,0 / -0.4
solvent_782 / solvent_306,1 / 0,0 / 0.02
solvent_782 / solvent_455,1 / 0,0 / -0.02
solvent_782 / solvent_723,1 / 0,0 / 0.96
solvent_782 / solvent_466,1 / 0,0 / 0.06
solvent_782 / solvent_795,1 / 0,0 / 0.19
solvent_782 / solvent_304,1 / 0,0 / 0.23
solvent_787 / solvent_535,1 / 0,0 / 0.63
solvent_787 / solvent_337,1 / 0,0 / 0.35
solvent_787 / solvent_527,1 / 0,0 / 0.66
solvent_787 / solvent_677,1 / 0,0 / 0.96
solvent_787 / solvent_262,1 / 0,0 / -0.45
ref_43 / solvent_580,1 / 0,0 / 0.65
ref_43 / solvent_446,1 / 0,0 / 0.68
ref_43 / solvent_92,1 / 0,0 / 0.65
ref_43 / solvent_62,1 / 0,0 / 0.78
ref_43 / solvent_583,1 / 0,0 / -0.09
ref_43 / solvent_449,1 / 0,0 / -0.05
ref_43 / solvent_669,1 / 0,0 / 0.03
ref_43 / solvent_647,1 / 0,0 / 0.16
solvent_795 / solvent_705,1 / 0,0 / 0
solvent_795 / solvent_535,1 / 0,0 / 0.03
solvent_795 / solvent_337,1 / 0,0 / 0.12
solvent_795 / ref_34,1 / 0,0 / 0.04
solvent_795 / solvent_527,1 / 0,0 / 0.08
solvent_795 / ref_103,1 / 0,0 / 0.04
solvent_795 / solvent_677,1 / 0,0 / 0.04
solvent_795 / ref_70,1 / 0,0 / 0.09
solvent_795 / ref_144,1 / 0,0 / 0.13
solvent_795 / ref_48,1 / 0,0 / 0.09
solvent_795 / solvent_666,1 / 0,0 / 0.13
solvent_795 / solvent_782,1 / 0,0 / 0.19
solvent_795 / solvent_446,1 / 0,0 / 0.67
solvent_795 / solvent_54,1 / 0,0 / 0.92
solvent_795 / solvent_595,1 / 0,0 / 1.07
solvent_796 / solvent_535,1 / 0,0 / 4.14
solvent_796 / solvent_337,1 / 0,0 / 3.43
solvent_796 / solvent_527,1 / 0,0 / 4.59
solvent_796 / solvent_840,1 / 0,0 / 3.85
solvent_796 / solvent_677,1 / 0,0 / 4.96
solvent_796 / solvent_95,1 / 0,0 / 4.76
solvent_796 / ref_48,1 / 0,0 / 4.21
solvent_796 / solvent_666,1 / 0,0 / 5.34
solvent_796 / solvent_262,1 / 0,0 / 1.48
solvent_796 / solvent_782,1 / 0,0 / 1.79
solvent_796 / ref_125,1 / 0,0 / 2.29
solvent_796 / ref_54,1 / 0,0 / 2.29
solvent_796 / solvent_687,1 / 0,0 / 2.16
solvent_796 / solvent_454,1 / 0,0 / 2.23
solvent_796 / ref_102,1 / 0,0 / 2.67
solvent_796 / ref_109,1 / 0,0 / 2.62
solvent_796 / ref_106,1 / 0,0 / 3.43
solvent_796 / ref_104,1 / 0,0 / 2.75
solvent_796 / solvent_80,1 / 0,0 / 3.9
solvent_796 / solvent_88,1 / 0,0 / 4.31
solvent_796 / ref_148,1 / 0,0 / 4.17
ref_14 / solvent_705,1 / 0,0 / 3.17
ref_14 / solvent_535,1 / 0,0 / 3.75
ref_14 / solvent_337,1 / 0,0 / 3.67
ref_14 / ref_34,1 / 0,0 / 3.56
ref_14 / solvent_527,1 / 0,0 / 4.23
ref_14 / ref_103,1 / 0,0 / 3.85
ref_14 / solvent_677,1 / 0,0 / 4.73
ref_14 / ref_70,1 / 0,0 / 4.2
ref_14 / ref_144,1 / 0,0 / 4.33
ref_14 / ref_48,1 / 0,0 / 4.47
ref_14 / solvent_666,1 / 0,0 / 5.2
ref_46 / solvent_343,1 / 0,0 / 2.53
ref_46 / solvent_535,1 / 0,0 / 3.52
ref_46 / solvent_337,1 / 0,0 / 2.94
ref_46 / ref_38,1 / 0,0 / 2.98
ref_46 / solvent_527,1 / 0,0 / 3.86
ref_46 / solvent_840,1 / 0,0 / 3.3
ref_46 / solvent_95,1 / 0,0 / 3.97
ref_46 / solvent_262,1 / 0,0 / 0.83
ref_46 / solvent_782,1 / 0,0 / 1.16
