solv_i_id,molefrac_i,ln_gamma_i
solvent_612 / solvent_677,1 / 0,0 / 1.31
solvent_612 / ref_70,1 / 0,0 / 1.19
solvent_612 / ref_144,1 / 0,0 / 1.25
solvent_612 / ref_48,1 / 0,0 / 1.22
solvent_612 / solvent_666,1 / 0,0 / 1.46
solvent_167 / solvent_705,1 / 0,0 / 1.61
solvent_167 / solvent_535,1 / 0,0 / 1.88
solvent_167 / solvent_337,1 / 0,0 / 1.6
solvent_167 / ref_34,1 / 0,0 / 1.85
solvent_167 / solvent_527,1 / 0,0 / 2.04
solvent_167 / ref_103,1 / 0,0 / 2.01
solvent_167 / solvent_677,1 / 0,0 / 2.24
solvent_167 / solvent_95,1 / 0,0 / 2.01
solvent_167 / ref_70,1 / 0,0 / 2.07
solvent_167 / ref_144,1 / 0,0 / 2.17
solvent_167 / ref_48,1 / 0,0 / 2.09
solvent_167 / solvent_666,1 / 0,0 / 2.38
solvent_167 / ref_32,1 / 0,0 / 2.09
solvent_167 / solvent_262,1 / 0,0 / 1.56
solvent_167 / solvent_782,1 / 0,0 / 1.71
solvent_167 / ref_125,1 / 0,0 / 2.65
solvent_167 / ref_54,1 / 0,0 / 1.91
solvent_167 / solvent_687,1 / 0,0 / 2.31
solvent_167 / solvent_446,1 / 0,0 / -0.13
solvent_167 / solvent_54,1 / 0,0 / 1.1
solvent_167 / solvent_595,1 / 0,0 / 0.89
ref_20 / solvent_535,1 / 0,0 / 1.63
ref_20 / solvent_337,1 / 0,0 / 1.35
ref_20 / ref_38,1 / 0,0 / 1.52
ref_20 / solvent_527,1 / 0,0 / 1.81
ref_20 / solvent_666,1 / 0,0 / 2.16
ref_20 / solvent_262,1 / 0,0 / 0.48
ref_20 / solvent_782,1 / 0,0 / 0.71
ref_20 / ref_125,1 / 0,0 / 1
ref_20 / ref_54,1 / 0,0 / 0.95
ref_20 / solvent_687,1 / 0,0 / 0.92
ref_20 / solvent_454,1 / 0,0 / 0.94
ref_20 / ref_121,1 / 0,0 / 1.25
ref_20 / ref_122,1 / 0,0 / 0.81
ref_20 / solvent_167,1 / 0,0 / 0.39
ref_20 / solvent_296,1 / 0,0 / 0.03
ref_20 / solvent_54,1 / 0,0 / 0.42
ref_20 / solvent_595,1 / 0,0 / 0.43
ref_20 / solvent_627,1 / 0,0 / -0.36
ref_20 / ref_36,1 / 0,0 / 0.38
ref_20 / solvent_317,1 / 0,0 / 0.48
ref_20 / solvent_276,1 / 0,0 / 0.58
ref_20 / solvent_225,1 / 0,0 / 0.78
ref_20 / solvent_510,1 / 0,0 / 0.34
ref_101 / solvent_535,1 / 0,0 / 0.57
ref_101 / solvent_527,1 / 0,0 / 1.11
ref_101 / solvent_677,1 / 0,0 / 1.37
ref_13 / solvent_677,1 / 0,0 / 0.35
ref_33 / solvent_705,1 / 0,0 / 0.54
ref_33 / solvent_535,1 / 0,0 / 1.39
ref_33 / solvent_337,1 / 0,0 / 1.11
ref_33 / ref_34,1 / 0,0 / 1.25
ref_33 / solvent_527,1 / 0,0 / 1.44
ref_33 / ref_103,1 / 0,0 / 1.39
ref_33 / solvent_677,1 / 0,0 / 1.59
ref_33 / ref_70,1 / 0,0 / 1.47
ref_33 / solvent_666,1 / 0,0 / 1.84
ref_33 / ref_32,1 / 0,0 / 1.52
ref_33 / solvent_782,1 / 0,0 / 1.09
ref_33 / solvent_446,1 / 0,0 / -0.13
ref_33 / solvent_54,1 / 0,0 / 0.74
ref_33 / solvent_595,1 / 0,0 / 0.6
ref_33 / solvent_795,1 / 0,0 / -0.42
ref_42 / solvent_535,1 / 0,0 / 3.39
ref_42 / solvent_337,1 / 0,0 / 2.83
ref_42 / ref_38,1 / 0,0 / 2.84
ref_42 / solvent_527,1 / 0,0 / 3.67
ref_42 / solvent_840,1 / 0,0 / 3.11
ref_42 / solvent_95,1 / 0,0 / 3.74
ref_42 / solvent_262,1 / 0,0 / 0.53
ref_42 / solvent_782,1 / 0,0 / 0.83
solvent_377 / solvent_705,1 / 0,0 / 0.94
solvent_377 / solvent_90,1 / 0,0 / 0.58
solvent_356 / solvent_535,1 / 0,0 / 2.04
solvent_220 / solvent_705,1 / 0,0 / 2.46
solvent_220 / solvent_535,1 / 0,0 / 2.79
solvent_220 / solvent_337,1 / 0,0 / 2.88
solvent_220 / ref_34,1 / 0,0 / 2.78
solvent_220 / solvent_527,1 / 0,0 / 3.14
solvent_220 / ref_103,1 / 0,0 / 2.96
solvent_220 / solvent_677,1 / 0,0 / 3.37
solvent_220 / ref_70,1 / 0,0 / 3.06
solvent_220 / ref_144,1 / 0,0 / 3.25
solvent_220 / ref_48,1 / 0,0 / 3.12
solvent_220 / solvent_666,1 / 0,0 / 3.63
solvent_220 / solvent_262,1 / 0,0 / 1.34
solvent_222 / solvent_535,1 / 0,0 / 1.81
solvent_222 / solvent_262,1 / 0,0 / 0.51
